==== images ====
Columns prod:

id_image
url
path
alt
imageable_type
imageable_id
created_at
updated_at
deleted_at

Columns local:

id_image
url
path
alt
imageable_type
imageable_id
created_at
updated_at
deleted_at

Sample prod (first 50 rows):

id_image|url|path|alt|imageable_type|imageable_id|created_at|updated_at|deleted_at
1|/images/geovision/cam1.png|images/geovision/cam1.png|Informatique - Serie 1|PRODUIT|11|2026-03-12 15:46:49|2026-03-12 15:46:49|
2|/images/geovision/cam1.png|images/geovision/cam1.png|Informatique - Serie 2|PRODUIT|12|2026-03-12 15:46:49|2026-03-12 15:46:49|
3|/images/geovision/cam1.png|images/geovision/cam1.png|Informatique - Serie 3|PRODUIT|13|2026-03-12 15:46:49|2026-03-12 15:46:49|
4|/images/geovision/cam1.png|images/geovision/cam1.png|Informatique - Serie 4|PRODUIT|14|2026-03-12 15:46:49|2026-03-12 15:46:49|
5|/images/geovision/cam1.png|images/geovision/cam1.png|Informatique - Serie 5|PRODUIT|15|2026-03-12 15:46:49|2026-03-12 15:46:49|
6|/images/geovision/cam1.png|images/geovision/cam1.png|Cameras - Serie 1|PRODUIT|16|2026-03-12 15:46:49|2026-03-12 15:46:49|
7|/images/geovision/cam1.png|images/geovision/cam1.png|Cameras - Serie 2|PRODUIT|17|2026-03-12 15:46:49|2026-03-12 15:46:49|
8|/images/geovision/cam1.png|images/geovision/cam1.png|Cameras - Serie 3|PRODUIT|18|2026-03-12 15:46:49|2026-03-12 15:46:49|
9|/images/geovision/cam1.png|images/geovision/cam1.png|Cameras - Serie 4|PRODUIT|19|2026-03-12 15:46:49|2026-03-12 15:46:49|
10|/images/geovision/cam1.png|images/geovision/cam1.png|Cameras - Serie 5|PRODUIT|20|2026-03-12 15:46:49|2026-03-12 15:46:49|
11|/images/geovision/cam1.png|images/geovision/cam1.png|Ecrans & Moniteurs - Serie 1|PRODUIT|21|2026-03-12 15:46:49|2026-03-12 15:46:49|
12|/images/geovision/cam1.png|images/geovision/cam1.png|Ecrans & Moniteurs - Serie 2|PRODUIT|22|2026-03-12 15:46:49|2026-03-12 15:46:49|
13|/images/geovision/cam1.png|images/geovision/cam1.png|Ecrans & Moniteurs - Serie 3|PRODUIT|23|2026-03-12 15:46:49|2026-03-12 15:46:49|
14|/images/geovision/cam1.png|images/geovision/cam1.png|Ecrans & Moniteurs - Serie 4|PRODUIT|24|2026-03-12 15:46:49|2026-03-12 15:46:49|
15|/images/geovision/cam1.png|images/geovision/cam1.png|Ecrans & Moniteurs - Serie 5|PRODUIT|25|2026-03-12 15:46:49|2026-03-12 15:46:49|
16|/images/geovision/cam1.png|images/geovision/cam1.png|Cameras IP - Serie 1|PRODUIT|26|2026-03-12 15:46:49|2026-03-12 15:46:49|
17|/images/geovision/cam1.png|images/geovision/cam1.png|Cameras IP - Serie 2|PRODUIT|27|2026-03-12 15:46:49|2026-03-12 15:46:49|
18|/images/geovision/cam1.png|images/geovision/cam1.png|Cameras IP - Serie 3|PRODUIT|28|2026-03-12 15:46:49|2026-03-12 15:46:49|
19|/images/geovision/cam1.png|images/geovision/cam1.png|Cameras IP - Serie 4|PRODUIT|29|2026-03-12 15:46:49|2026-03-12 15:46:49|
20|/images/geovision/cam1.png|images/geovision/cam1.png|Cameras IP - Serie 5|PRODUIT|30|2026-03-12 15:46:49|2026-03-12 15:46:49|
21|/images/geovision/cam1.png|images/geovision/cam1.png|Systemes de surveillance - Serie 1|PRODUIT|31|2026-03-12 15:46:49|2026-03-12 15:46:49|
22|/images/geovision/cam1.png|images/geovision/cam1.png|Systemes de surveillance - Serie 2|PRODUIT|32|2026-03-12 15:46:49|2026-03-12 15:46:49|
23|/images/geovision/cam1.png|images/geovision/cam1.png|Systemes de surveillance - Serie 3|PRODUIT|33|2026-03-12 15:46:49|2026-03-12 15:46:49|
24|/images/geovision/cam1.png|images/geovision/cam1.png|Systemes de surveillance - Serie 4|PRODUIT|34|2026-03-12 15:46:49|2026-03-12 15:46:49|
25|/images/geovision/cam1.png|images/geovision/cam1.png|Systemes de surveillance - Serie 5|PRODUIT|35|2026-03-12 15:46:49|2026-03-12 15:46:49|
26|/images/geovision/cam1.png|images/geovision/cam1.png|Logiciel de gestion video (VMS) - Serie 1|PRODUIT|36|2026-03-12 15:46:49|2026-03-12 15:46:49|
27|/images/geovision/cam1.png|images/geovision/cam1.png|Logiciel de gestion video (VMS) - Serie 2|PRODUIT|37|2026-03-12 15:46:49|2026-03-12 15:46:49|
28|/images/geovision/cam1.png|images/geovision/cam1.png|Logiciel de gestion video (VMS) - Serie 3|PRODUIT|38|2026-03-12 15:46:49|2026-03-12 15:46:49|
29|/images/geovision/cam1.png|images/geovision/cam1.png|Logiciel de gestion video (VMS) - Serie 4|PRODUIT|39|2026-03-12 15:46:49|2026-03-12 15:46:49|
30|/images/geovision/cam1.png|images/geovision/cam1.png|Logiciel de gestion video (VMS) - Serie 5|PRODUIT|40|2026-03-12 15:46:49|2026-03-12 15:46:49|
31|/images/geovision/cam1.png|images/geovision/cam1.png|Controle d'acces - Serie 1|PRODUIT|41|2026-03-12 15:46:49|2026-03-12 15:46:49|
32|/images/geovision/cam1.png|images/geovision/cam1.png|Controle d'acces - Serie 2|PRODUIT|42|2026-03-12 15:46:49|2026-03-12 15:46:49|
33|/images/geovision/cam1.png|images/geovision/cam1.png|Controle d'acces - Serie 3|PRODUIT|43|2026-03-12 15:46:49|2026-03-12 15:46:49|
34|/images/geovision/cam1.png|images/geovision/cam1.png|Controle d'acces - Serie 4|PRODUIT|44|2026-03-12 15:46:49|2026-03-12 15:46:49|
35|/images/geovision/cam1.png|images/geovision/cam1.png|Controle d'acces - Serie 5|PRODUIT|45|2026-03-12 15:46:49|2026-03-12 15:46:49|
36|/images/geovision/cam1.png|images/geovision/cam1.png|Reconnaissance plaques (LPR) - Serie 1|PRODUIT|46|2026-03-12 15:46:49|2026-03-12 15:46:49|
37|/images/geovision/cam1.png|images/geovision/cam1.png|Reconnaissance plaques (LPR) - Serie 2|PRODUIT|47|2026-03-12 15:46:49|2026-03-12 15:46:49|
38|/images/geovision/cam1.png|images/geovision/cam1.png|Reconnaissance plaques (LPR) - Serie 3|PRODUIT|48|2026-03-12 15:46:49|2026-03-12 15:46:49|
39|/images/geovision/cam1.png|images/geovision/cam1.png|Reconnaissance plaques (LPR) - Serie 4|PRODUIT|49|2026-03-12 15:46:49|2026-03-12 15:46:49|
40|/images/geovision/cam1.png|images/geovision/cam1.png|Reconnaissance plaques (LPR) - Serie 5|PRODUIT|50|2026-03-12 15:46:49|2026-03-12 15:46:49|
41|/images/geovision/cam1.png|images/geovision/cam1.png|Signaletique numerique - Serie 1|PRODUIT|51|2026-03-12 15:46:49|2026-03-12 15:46:49|
42|/images/geovision/cam1.png|images/geovision/cam1.png|Signaletique numerique - Serie 2|PRODUIT|52|2026-03-12 15:46:49|2026-03-12 15:46:49|
43|/images/geovision/cam1.png|images/geovision/cam1.png|Signaletique numerique - Serie 3|PRODUIT|53|2026-03-12 15:46:49|2026-03-12 15:46:49|
44|/images/geovision/cam1.png|images/geovision/cam1.png|Signaletique numerique - Serie 4|PRODUIT|54|2026-03-12 15:46:49|2026-03-12 15:46:49|
45|/images/geovision/cam1.png|images/geovision/cam1.png|Signaletique numerique - Serie 5|PRODUIT|55|2026-03-12 15:46:49|2026-03-12 15:46:49|
46|/images/geovision/cam1.png|images/geovision/cam1.png|Solutions PoE - Serie 1|PRODUIT|56|2026-03-12 15:46:49|2026-03-12 15:46:49|
47|/images/geovision/cam1.png|images/geovision/cam1.png|Solutions PoE - Serie 2|PRODUIT|57|2026-03-12 15:46:49|2026-03-12 15:46:49|
48|/images/geovision/cam1.png|images/geovision/cam1.png|Solutions PoE - Serie 3|PRODUIT|58|2026-03-12 15:46:49|2026-03-12 15:46:49|
49|/images/geovision/cam1.png|images/geovision/cam1.png|Solutions PoE - Serie 4|PRODUIT|59|2026-03-12 15:46:49|2026-03-12 15:46:49|
50|/images/geovision/cam1.png|images/geovision/cam1.png|Solutions PoE - Serie 5|PRODUIT|60|2026-03-12 15:46:49|2026-03-12 15:46:49|

Sample local (first 50 rows):

id_image|url|path|alt|imageable_type|imageable_id|created_at|updated_at|deleted_at
2|/images/home/hero-5.webp|images/home/hero-5.webp|Informatique - Serie 1|PRODUIT|11|2026-04-07 15:24:52|2026-04-07 15:24:52|
3|/images/home/hero-5.webp|images/home/hero-5.webp|Informatique - Serie 2|PRODUIT|12|2026-04-07 15:24:52|2026-04-07 15:24:52|
4|/images/home/hero-5.webp|images/home/hero-5.webp|Informatique - Serie 3|PRODUIT|13|2026-04-07 15:24:52|2026-04-07 15:24:52|
5|/images/home/hero-5.webp|images/home/hero-5.webp|Informatique - Serie 4|PRODUIT|14|2026-04-07 15:24:52|2026-04-07 15:24:52|
6|/images/home/hero-5.webp|images/home/hero-5.webp|Drones - Serie 1|PRODUIT|15|2026-04-07 15:24:52|2026-04-07 15:24:52|
7|/images/home/hero-5.webp|images/home/hero-5.webp|Drones - Serie 2|PRODUIT|16|2026-04-07 15:24:52|2026-04-07 15:24:52|
8|/images/home/hero-5.webp|images/home/hero-5.webp|Drones - Serie 3|PRODUIT|17|2026-04-07 15:24:52|2026-04-07 15:24:52|
9|/images/home/hero-5.webp|images/home/hero-5.webp|Drones - Serie 4|PRODUIT|18|2026-04-07 15:24:52|2026-04-07 15:24:52|
