==== produits ====
Columns prod:

id_produit
titre
slug
reference
description
description_courte
prix
prix_promo
promo_debut
promo_fin
stock
stock_alerte
statut
marque
modele
poids
specifications
garantie
est_en_vedette
est_nouveau
vues
note_moyenne
nombre_avis
id_categorie
id_pays
id_utilisateur
date_creation
created_at
updated_at
deleted_at
en_promo
uuid

Columns local:

id_produit
titre
slug
reference
description
description_courte
prix
prix_promo
promo_debut
promo_fin
stock
stock_alerte
statut
marque
modele
poids
specifications
garantie
est_en_vedette
est_nouveau
vues
note_moyenne
nombre_avis
id_categorie
id_pays
id_utilisateur
date_creation
created_at
updated_at
deleted_at
en_promo
uuid

Sample prod (first 50 rows):

id_produit|titre|slug|reference|description|description_courte|prix|prix_promo|promo_debut|promo_fin|stock|stock_alerte|statut|marque|modele|poids|specifications|garantie|est_en_vedette|est_nouveau|vues|note_moyenne|nombre_avis|id_categorie|id_pays|id_utilisateur|date_creation|created_at|updated_at|deleted_at|en_promo|uuid
83|Produit Informatique 1|produit-informatique-1|ITN4JHKO|Description longue du produit informatique 1|Produit 1 - Informatique|4585.00|4222.00|||79|5|disponible|HP|Modèle 1|3.00|{"couleur":"noir","puissance":"42W"}|1 an|t|f|269|4.60|88|1|1|1|2026-03-12 17:39:30|2026-03-12 17:39:30|2026-03-12 17:39:30||f|2c15296a-a843-490d-b7ee-9c8f109dd5f1
84|Produit Informatique 2|produit-informatique-2|8YXQ9RMW|Description longue du produit informatique 2|Produit 2 - Informatique|1251.00|1691.00|||99|5|disponible|HP|Modèle 2|1.00|{"couleur":"noir","puissance":"14W"}|1 an|f|f|931|4.30|57|1|1|1|2026-03-12 17:39:30|2026-03-12 17:39:30|2026-03-12 17:39:30||f|a9c436f6-c463-4955-ae71-8de090137334
85|Produit Informatique 3|produit-informatique-3|LAUC20P7|Description longue du produit informatique 3|Produit 3 - Informatique|694.00|1511.00|||38|5|disponible|HP|Modèle 3|5.00|{"couleur":"noir","puissance":"61W"}|1 an|t|t|193|4.10|5|1|1|1|2026-03-12 17:39:30|2026-03-12 17:39:30|2026-03-12 17:39:30||f|61c0ba4e-e1b7-41b7-a7b7-80990d70c29a
86|Produit Informatique 4|produit-informatique-4|71GIREYH|Description longue du produit informatique 4|Produit 4 - Informatique|3023.00|3317.00|||12|5|disponible|HP|Modèle 4|3.00|{"couleur":"noir","puissance":"37W"}|1 an|f|f|894|4.20|8|1|1|1|2026-03-12 17:39:30|2026-03-12 17:39:30|2026-03-12 17:39:30||f|d8730093-2569-4e3a-b83a-7414c46c4ce5
87|Produit Informatique 5|produit-informatique-5|Z4CFPHDS|Description longue du produit informatique 5|Produit 5 - Informatique|241.00|4264.00|||86|5|disponible|HP|Modèle 5|4.00|{"couleur":"noir","puissance":"13W"}|1 an|t|f|64|3.60|79|1|1|1|2026-03-12 17:39:30|2026-03-12 17:39:30|2026-03-12 17:39:30||f|b61edb8e-e347-4b22-8cf5-1016579ec913
88|Produit Informatique 6|produit-informatique-6|HYFEGSOU|Description longue du produit informatique 6|Produit 6 - Informatique|3055.00|680.00|||82|5|disponible|HP|Modèle 6|5.00|{"couleur":"noir","puissance":"49W"}|1 an|t|f|12|4.10|2|1|1|1|2026-03-12 17:39:30|2026-03-12 17:39:30|2026-03-12 17:39:30||f|43ce7b46-18ef-45a8-b996-29ae6c4298c9
89|Produit Informatique 7|produit-informatique-7|4UXRKEVN|Description longue du produit informatique 7|Produit 7 - Informatique|154.00|662.00|||56|5|disponible|HP|Modèle 7|3.00|{"couleur":"noir","puissance":"61W"}|1 an|t|t|926|3.70|93|1|1|1|2026-03-12 17:39:30|2026-03-12 17:39:30|2026-03-12 17:39:30||f|f1aa236f-d536-4acf-a19b-b8f90e5cd3f4
90|Produit Informatique 8|produit-informatique-8|65WOCAWW|Description longue du produit informatique 8|Produit 8 - Informatique|2421.00|477.00|||75|5|disponible|HP|Modèle 8|2.00|{"couleur":"noir","puissance":"20W"}|1 an|f|t|626|3.50|66|1|1|1|2026-03-12 17:39:30|2026-03-12 17:39:30|2026-03-12 17:39:30||f|4f981e50-6bda-4266-b561-8c3b5006a7cc
91|Produit Informatique 9|produit-informatique-9|FF7PCEEX|Description longue du produit informatique 9|Produit 9 - Informatique|1113.00|4890.00|||37|5|disponible|HP|Modèle 9|8.00|{"couleur":"noir","puissance":"95W"}|1 an|t|t|589|4.10|100|1|1|1|2026-03-12 17:39:30|2026-03-12 17:39:30|2026-03-12 17:39:30||f|c2d7d638-2827-41f5-a400-1c714a9fa8ac
92|Produit Informatique 10|produit-informatique-10|ECFDYEEG|Description longue du produit informatique 10|Produit 10 - Informatique|3056.00|1973.00|||68|5|disponible|HP|Modèle 10|5.00|{"couleur":"noir","puissance":"83W"}|1 an|f|f|812|3.00|55|1|1|1|2026-03-12 17:39:30|2026-03-12 17:39:30|2026-03-12 17:39:30||f|3a614b9a-d4b1-4974-bef9-5f7572f5b1a5
