id_image,url,path,alt,imageable_type,imageable_id,created_at,updated_at,deleted_at
1,/images/geovision/cam1.png,images/geovision/cam1.png,Informatique - Serie 1,PRODUIT,11,2026-03-12 15:46:49,2026-03-12 15:46:49,
2,/images/geovision/cam1.png,images/geovision/cam1.png,Informatique - Serie 2,PRODUIT,12,2026-03-12 15:46:49,2026-03-12 15:46:49,
3,/images/geovision/cam1.png,images/geovision/cam1.png,Informatique - Serie 3,PRODUIT,13,2026-03-12 15:46:49,2026-03-12 15:46:49,
4,/images/geovision/cam1.png,images/geovision/cam1.png,Informatique - Serie 4,PRODUIT,14,2026-03-12 15:46:49,2026-03-12 15:46:49,
5,/images/geovision/cam1.png,images/geovision/cam1.png,Informatique - Serie 5,PRODUIT,15,2026-03-12 15:46:49,2026-03-12 15:46:49,
6,/images/geovision/cam1.png,images/geovision/cam1.png,Cameras - Serie 1,PRODUIT,16,2026-03-12 15:46:49,2026-03-12 15:46:49,
7,/images/geovision/cam1.png,images/geovision/cam1.png,Cameras - Serie 2,PRODUIT,17,2026-03-12 15:46:49,2026-03-12 15:46:49,
8,/images/geovision/cam1.png,images/geovision/cam1.png,Cameras - Serie 3,PRODUIT,18,2026-03-12 15:46:49,2026-03-12 15:46:49,
9,/images/geovision/cam1.png,images/geovision/cam1.png,Cameras - Serie 4,PRODUIT,19,2026-03-12 15:46:49,2026-03-12 15:46:49,
10,/images/geovision/cam1.png,images/geovision/cam1.png,Cameras - Serie 5,PRODUIT,20,2026-03-12 15:46:49,2026-03-12 15:46:49,
11,/images/geovision/cam1.png,images/geovision/cam1.png,Ecrans & Moniteurs - Serie 1,PRODUIT,21,2026-03-12 15:46:49,2026-03-12 15:46:49,
12,/images/geovision/cam1.png,images/geovision/cam1.png,Ecrans & Moniteurs - Serie 2,PRODUIT,22,2026-03-12 15:46:49,2026-03-12 15:46:49,
13,/images/geovision/cam1.png,images/geovision/cam1.png,Ecrans & Moniteurs - Serie 3,PRODUIT,23,2026-03-12 15:46:49,2026-03-12 15:46:49,
14,/images/geovision/cam1.png,images/geovision/cam1.png,Ecrans & Moniteurs - Serie 4,PRODUIT,24,2026-03-12 15:46:49,2026-03-12 15:46:49,
15,/images/geovision/cam1.png,images/geovision/cam1.png,Ecrans & Moniteurs - Serie 5,PRODUIT,25,2026-03-12 15:46:49,2026-03-12 15:46:49,
16,/images/geovision/cam1.png,images/geovision/cam1.png,Cameras IP - Serie 1,PRODUIT,26,2026-03-12 15:46:49,2026-03-12 15:46:49,
17,/images/geovision/cam1.png,images/geovision/cam1.png,Cameras IP - Serie 2,PRODUIT,27,2026-03-12 15:46:49,2026-03-12 15:46:49,
18,/images/geovision/cam1.png,images/geovision/cam1.png,Cameras IP - Serie 3,PRODUIT,28,2026-03-12 15:46:49,2026-03-12 15:46:49,
19,/images/geovision/cam1.png,images/geovision/cam1.png,Cameras IP - Serie 4,PRODUIT,29,2026-03-12 15:46:49,2026-03-12 15:46:49,
20,/images/geovision/cam1.png,images/geovision/cam1.png,Cameras IP - Serie 5,PRODUIT,30,2026-03-12 15:46:49,2026-03-12 15:46:49,
21,/images/geovision/cam1.png,images/geovision/cam1.png,Systemes de surveillance - Serie 1,PRODUIT,31,2026-03-12 15:46:49,2026-03-12 15:46:49,
22,/images/geovision/cam1.png,images/geovision/cam1.png,Systemes de surveillance - Serie 2,PRODUIT,32,2026-03-12 15:46:49,2026-03-12 15:46:49,
23,/images/geovision/cam1.png,images/geovision/cam1.png,Systemes de surveillance - Serie 3,PRODUIT,33,2026-03-12 15:46:49,2026-03-12 15:46:49,
24,/images/geovision/cam1.png,images/geovision/cam1.png,Systemes de surveillance - Serie 4,PRODUIT,34,2026-03-12 15:46:49,2026-03-12 15:46:49,
25,/images/geovision/cam1.png,images/geovision/cam1.png,Systemes de surveillance - Serie 5,PRODUIT,35,2026-03-12 15:46:49,2026-03-12 15:46:49,
26,/images/geovision/cam1.png,images/geovision/cam1.png,Logiciel de gestion video (VMS) - Serie 1,PRODUIT,36,2026-03-12 15:46:49,2026-03-12 15:46:49,
27,/images/geovision/cam1.png,images/geovision/cam1.png,Logiciel de gestion video (VMS) - Serie 2,PRODUIT,37,2026-03-12 15:46:49,2026-03-12 15:46:49,
28,/images/geovision/cam1.png,images/geovision/cam1.png,Logiciel de gestion video (VMS) - Serie 3,PRODUIT,38,2026-03-12 15:46:49,2026-03-12 15:46:49,
56,/images/home/hero-5.png,images/home/hero-5.png,Informatique - Serie 1,PRODUIT,11,2026-03-12 15:46:49,2026-03-12 15:46:49,
57,/images/home/hero-5.png,images/home/hero-5.png,Informatique - Serie 2,PRODUIT,12,2026-03-12 15:46:49,2026-03-12 15:46:49,
58,/images/home/hero-5.png,images/home/hero-5.png,Informatique - Serie 3,PRODUIT,13,2026-03-12 15:46:49,2026-03-12 15:46:49,
59,/images/home/hero-5.png,images/home/hero-5.png,Informatique - Serie 4,PRODUIT,14,2026-03-12 15:46:49,2026-03-12 15:46:49,
75,/images/home/hero-5.png,images/home/hero-5.png,Accessoires IT - Serie 4,PRODUIT,81,2026-03-12 15:46:49,2026-03-12 15:46:49,
160,/uploads/formations/gestion-commerciale-stock.webp,uploads/formations/gestion-commerciale-stock.webp,Image de la formation: Gestion Commerciale et Stock - Niveau 1,FORMATION,2,2026-03-21 13:51:37,2026-03-21 13:55:50,2026-03-21 13:55:50
161,/uploads/formations/comptabilite-gestion-projets.webp,uploads/formations/comptabilite-gestion-projets.webp,Image de la formation: Comptabilité Générale - Essentials,FORMATION,3,2026-03-21 13:51:37,2026-03-21 13:55:50,2026-03-21 13:55:50
162,/uploads/formations/leadership-rh.webp,uploads/formations/leadership-rh.webp,Image de la formation: Ressources Humaines & Paie,FORMATION,4,2026-03-21 13:51:37,2026-03-21 13:55:50,2026-03-21 13:55:50
163,/uploads/formations/excel-avance.webp,uploads/formations/excel-avance.webp,Image de la formation: Microsoft Excel Avancé,FORMATION,5,2026-03-21 13:51:38,2026-03-21 13:55:50,2026-03-21 13:55:50
164,/uploads/formations/video-surveillance.webp,uploads/formations/video-surveillance.webp,Image de la formation: Videosurveillance & Contrôle d'Accès,FORMATION,6,2026-03-21 13:51:38,2026-03-21 13:55:50,2026-03-21 13:55:50
165,/uploads/formations/assistant-direction.webp,uploads/formations/assistant-direction.webp,Image de la formation: Drones Civils - Initiation & Pilotage,FORMATION,7,2026-03-21 13:51:38,2026-03-21 13:55:50,2026-03-21 13:55:50
166,/uploads/formations/gestion-entreprise.webp,uploads/formations/gestion-entreprise.webp,Image de la formation: Extincteurs & Sécurité Incendie,FORMATION,8,2026-03-21 13:51:38,2026-03-21 13:55:50,2026-03-21 13:55:50
167,/uploads/formations/big-data.webp,uploads/formations/big-data.webp,Image de la formation: Transformation Digitale des PME,FORMATION,9,2026-03-21 13:51:38,2026-03-21 13:55:50,2026-03-21 13:55:50
168,/uploads/formations/dev-application-api.webp,uploads/formations/dev-application-api.webp,Image de la formation: Solutions Cloud & Cybersécurité,FORMATION,10,2026-03-21 13:51:38,2026-03-21 13:55:50,2026-03-21 13:55:50
169,/uploads/formations/web-wordpress.webp,uploads/formations/web-wordpress.webp,Image de la formation: Web & Mobile - Initiation,FORMATION,11,2026-03-21 13:51:38,2026-03-21 13:55:50,2026-03-21 13:55:50
170,/uploads/formations/seo-referencement.webp,uploads/formations/seo-referencement.webp,Image de la formation: Marketing Digital & SEO,FORMATION,12,2026-03-21 13:51:38,2026-03-21 13:55:50,2026-03-21 13:55:50
171,/uploads/formations/gestion-projets.webp,uploads/formations/gestion-projets.webp,Image de la formation: Gestion de Projet Agile/Scrum,FORMATION,13,2026-03-21 13:51:38,2026-03-21 13:55:50,2026-03-21 13:55:50
172,/uploads/formations/leadership-rh.webp,uploads/formations/leadership-rh.webp,Image de la formation: Communication Professionnelle & Leadership,FORMATION,14,2026-03-21 13:51:38,2026-03-21 13:55:50,2026-03-21 13:55:50
173,/uploads/formations/community-management.webp,uploads/formations/community-management.webp,Image de la formation: Anglais Professionnel - Business English,FORMATION,15,2026-03-21 13:51:38,2026-03-21 13:55:50,2026-03-21 13:55:50
174,/uploads/formations/gestion-commerciale-stock.webp,uploads/formations/gestion-commerciale-stock.webp,Image de la formation: Gestion Commerciale et Stock - Niveau 1,FORMATION,16,2026-03-21 13:51:38,2026-03-21 13:55:50,2026-03-21 13:55:50
188,/uploads/formations/gestion-commerciale-stock.webp,uploads/formations/gestion-commerciale-stock.webp,Image de la formation: Gestion Commerciale et Stock - Niveau 1,FORMATION,2,2026-03-21 13:55:50,2026-03-21 13:55:50,
189,/uploads/formations/comptabilite-gestion-projets.webp,uploads/formations/comptabilite-gestion-projets.webp,Image de la formation: Comptabilité Générale - Essentials,FORMATION,3,2026-03-21 13:55:50,2026-03-21 13:55:50,
190,/uploads/formations/leadership-rh.webp,uploads/formations/leadership-rh.webp,Image de la formation: Ressources Humaines & Paie,FORMATION,4,2026-03-21 13:55:50,2026-03-21 13:55:50,
79,uploads/formations/microsoft-avance.webp,uploads/formations/microsoft-avance.webp,Microsoft Avancé,FORMATION,23,2026-03-13 11:08:51,2026-03-17 12:12:24,2026-03-17 12:12:24
191,/uploads/formations/excel-avance.webp,uploads/formations/excel-avance.webp,Image de la formation: Microsoft Excel Avancé,FORMATION,5,2026-03-21 13:55:50,2026-03-21 13:55:50,
