id_produit,titre,slug,reference,description,description_courte,prix,prix_promo,promo_debut,promo_fin,stock,stock_alerte,statut,marque,modele,poids,specifications,garantie,est_en_vedette,est_nouveau,vues,note_moyenne,nombre_avis,id_categorie,id_pays,id_utilisateur,date_creation,created_at,updated_at,deleted_at,en_promo,uuid,segment
36,TPE Ingenico Move/5000,tpe-ingenico-move5000-15-1,CAT-15-01,Produit de demonstration pour la sous-categorie TPE.,TPE - modele Ingenico Move/5000,2396950.00,,,,28,3,disponible,Dell,Ingenico Move/5000,26.00,"{""taxonomy"":{""domain"":""Catalogue Produits Techniques"",""category"":""Ingenierie"",""subcategory"":""TPE"",""series"":""Ingenico Move\/5000""},""tags"":[""demo"",""catalogue"",""tpe""],""features"":[""Livraison et installation"",""Configuration selon votre environnement"",""Support de demarrage""]}",1 an,f,t,10,0.00,0,15,1,1,2026-04-07 16:34:32,,,,f,d560ce77-1422-43b3-89e1-fd2da371c172,general
37,TPE Verifone VX680,tpe-verifone-vx680-15-2,CAT-15-02,Produit de demonstration pour la sous-categorie TPE.,TPE - modele Verifone VX680,2704195.00,,,,11,3,disponible,Dell,Verifone VX680,26.00,"{""tags"":[""demo"",""catalogue"",""tpe""],""features"":[""Livraison et installation"",""Configuration selon votre environnement"",""Support de demarrage""]}",1 an,f,t,70,0.00,0,15,1,1,2026-04-07 16:34:32,,,,f,b2e60676-84b2-4920-8cd6-684cd36ac7a5,general
38,TPE PAX A920,tpe-pax-a920-15-3,CAT-15-03,Produit de demonstration pour la sous-categorie TPE.,TPE - modele PAX A920,2883309.00,,,,13,3,disponible,ISD,PAX A920,12.00,"{""taxonomy"":{""domain"":""Catalogue Produits Techniques"",""category"":""Ingenierie"",""subcategory"":""TPE"",""series"":""PAX A920""},""tags"":[""demo"",""catalogue"",""tpe""],""features"":[""Livraison et installation"",""Configuration selon votre environnement"",""Support de demarrage""]}",1 an,f,t,82,0.00,0,15,1,1,2026-04-07 16:34:32,,,,f,596b7677-36b7-4588-9310-f94bfeb9d65d,general
81,R.I.A RIA DN25 30m,ria-ria-dn25-30m-34-1,CAT-34-01,Produit de demonstration pour la sous-categorie R.I.A.,R.I.A - modele RIA DN25 30m,1751679.00,,,,7,3,disponible,Cisco,RIA DN25 30m,4.00,"{""taxonomy"":{""domain"":""Catalogue Produits Techniques"",""category"":""Incendie"",""subcategory"":""R.I.A"",""series"":""RIA DN25 30m""},""tags"":[""demo"",""catalogue"",""ria""],""features"":[""Livraison et installation"",""Configuration selon votre environnement"",""Support de demarrage""]}",1 an,f,t,73,0.00,0,34,1,1,2026-04-07 16:34:33,,,,f,f8ea2292-4bb5-439d-a83b-75bbed3467be,general
82,R.I.A RIA DN19 20m,ria-ria-dn19-20m-34-2,CAT-34-02,Produit de demonstration pour la sous-categorie R.I.A.,R.I.A - modele RIA DN19 20m,856977.00,,,,6,3,disponible,DJI,RIA DN19 20m,19.00,"{""taxonomy"":{""domain"":""Catalogue Produits Techniques"",""category"":""Incendie"",""subcategory"":""R.I.A"",""series"":""RIA DN19 20m""},""tags"":[""demo"",""catalogue"",""ria""],""features"":[""Livraison et installation"",""Configuration selon votre environnement"",""Support de demarrage""]}",1 an,f,t,59,0.00,0,34,1,1,2026-04-07 16:34:33,,,,f,35ec9e60-3685-45cd-bb36-38505defebe3,general
83,R.I.A RIA pivotant mural,ria-ria-pivotant-mural-34-3,CAT-34-03,Produit de demonstration pour la sous-categorie R.I.A.,R.I.A - modele RIA pivotant mural,165002.00,,,,20,3,disponible,Cisco,RIA pivotant mural,22.00,"{""taxonomy"":{""domain"":""Catalogue Produits Techniques"",""category"":""Incendie"",""subcategory"":""R.I.A"",""series"":""RIA pivotant mural""},""tags"":[""demo"",""catalogue"",""ria""],""features"":[""Livraison et installation"",""Configuration selon votre environnement"",""Support de demarrage""]}",1 an,f,t,21,0.00,0,34,1,1,2026-04-07 16:34:33,,,,f,4cdc0840-a7a5-420b-97f9-b4fd914b0b0a,general
84,Detecteur de fumee Honeywell ECO1003,detecteur-de-fumee-honeywell-eco1003-35-1,CAT-35-01,Produit de demonstration pour la sous-categorie Detecteur de fumee.,Detecteur de fumee - modele Honeywell ECO1003,1325729.00,,,,6,3,disponible,ZKTeco,Honeywell ECO1003,1.00,"{""taxonomy"":{""domain"":""Catalogue Produits Techniques"",""category"":""Incendie"",""subcategory"":""Detecteur de fumee"",""series"":""Honeywell ECO1003""},""tags"":[""demo"",""catalogue"",""detecteur-de-fumee""],""features"":[""Livraison et installation"",""Configuration selon votre environnement"",""Support de demarrage""]}",1 an,f,t,117,0.00,0,35,1,1,2026-04-07 16:34:33,,,,f,4a7bfb5f-1aa0-4c33-a46e-f4a7ba109386,general
85,Detecteur de fumee Siemens OP720,detecteur-de-fumee-siemens-op720-35-2,CAT-35-02,Produit de demonstration pour la sous-categorie Detecteur de fumee.,Detecteur de fumee - modele Siemens OP720,2172785.00,,,,7,3,disponible,DJI,Siemens OP720,30.00,"{""taxonomy"":{""domain"":""Catalogue Produits Techniques"",""category"":""Incendie"",""subcategory"":""Detecteur de fumee"",""series"":""Siemens OP720""},""tags"":[""demo"",""catalogue"",""detecteur-de-fumee""],""features"":[""Livraison et installation"",""Configuration selon votre environnement"",""Support de demarrage""]}",1 an,f,t,27,0.00,0,35,1,1,2026-04-07 16:34:33,,,,f,b8839863-7d36-4b84-baa4-256754d70b6e,general
86,Detecteur de fumee Apollo XP95 Optical,detecteur-de-fumee-apollo-xp95-optical-35-3,CAT-35-03,Produit de demonstration pour la sous-categorie Detecteur de fumee.,Detecteur de fumee - modele Apollo XP95 Optical,3212371.00,,,,9,3,disponible,Huawei,Apollo XP95 Optical,5.00,"{""taxonomy"":{""domain"":""Catalogue Produits Techniques"",""category"":""Incendie"",""subcategory"":""Detecteur de fumee"",""series"":""Apollo XP95 Optical""},""tags"":[""demo"",""catalogue"",""detecteur-de-fumee""],""features"":[""Livraison et installation"",""Configuration selon votre environnement"",""Support de demarrage""]}",1 an,f,t,63,0.00,0,35,1,1,2026-04-07 16:34:33,,,,f,8dcb8195-e7e9-4c7f-82e9-77884e074ad9,general
87,Detecteur d'humidite Ajax LeaksProtect,detecteur-dhumidite-ajax-leaksprotect-36-1,CAT-36-01,Produit de demonstration pour la sous-categorie Detecteur d'humidite.,Detecteur d'humidite - modele Ajax LeaksProtect,2736160.00,,,,20,3,disponible,ZKTeco,Ajax LeaksProtect,26.00,"{""taxonomy"":{""domain"":""Catalogue Produits Techniques"",""category"":""Incendie"",""subcategory"":""Detecteur d'humidite"",""series"":""Ajax LeaksProtect""},""tags"":[""demo"",""catalogue"",""detecteur-dhumidite""],""features"":[""Livraison et installation"",""Configuration selon votre environnement"",""Support de demarrage""]}",1 an,f,t,6,0.00,0,36,1,1,2026-04-07 16:34:33,,,,f,e996e2d8-592b-4c0c-a41a-64798abe3388,general
